"sample_id","site_code_raw","site_code","sample_type","habitat","mapping_status","normalization_note","environment_join_status","fticr_profile_available","qc_flag","nonchim","meets_rarefaction_depth"
"hja2016_190","HJA-2016_soil_09","HJA-2016_soil_09","terrestrial soil","soil","MATCHED",,"MATCHED_SOIL_METADATA",FALSE,"OK",34900,TRUE
"hja2016_191","HJA-2016_soil_10","HJA-2016_soil_10","terrestrial soil","soil","MATCHED",,"MATCHED_SOIL_METADATA",FALSE,"OK",45834,TRUE
"hja2016_031","161","161","hyporheic water","hyporheic","MATCHED",,"MATCHED_AQUATIC_MASTER",TRUE,"OK",12209,TRUE
"hja2016_032","54","54","hyporheic water","hyporheic","MATCHED",,"MATCHED_AQUATIC_MASTER",TRUE,"OK",14201,TRUE
"hja2016_035","192","192","hyporheic water","hyporheic","MATCHED",,"MATCHED_AQUATIC_MASTER",TRUE,"OK",30527,TRUE
"hja2016_037","43","43","hyporheic water","hyporheic","MATCHED",,"MATCHED_AQUATIC_MASTER",FALSE,"OK",13968,TRUE
"hja2016_040","190","190","hyporheic water","hyporheic","MATCHED",,"MATCHED_AQUATIC_MASTER",TRUE,"OK",9607,FALSE
"hja2016_042","165","165","planktonic streamwater","planktonic","MATCHED",,"MATCHED_AQUATIC_MASTER",TRUE,"OK",12819,TRUE
"hja2016_043","KC-2","KC-2","hyporheic water","hyporheic","MATCHED",,"MATCHED_AQUATIC_MASTER",TRUE,"OK",20270,TRUE
"hja2016_044","156","156","planktonic streamwater","planktonic","MATCHED",,"MATCHED_AQUATIC_MASTER",TRUE,"OK",10328,TRUE
"hja2016_049","67","67","planktonic streamwater","planktonic","MATCHED",,"MATCHED_AQUATIC_MASTER",FALSE,"OK",13815,TRUE
"hja2016_050","165","165","hyporheic water","hyporheic","MATCHED",,"MATCHED_AQUATIC_MASTER",TRUE,"OK",48004,TRUE
"hja2016_052","163","163","hyporheic water","hyporheic","MATCHED",,"MATCHED_AQUATIC_MASTER",TRUE,"OK",61105,TRUE
"hja2016_056","KC-1","KC-1","hyporheic water","hyporheic","MATCHED",,"MATCHED_AQUATIC_MASTER",TRUE,"OK",49037,TRUE
"hja2016_057","71","71","hyporheic water","hyporheic","MATCHED",,"MATCHED_AQUATIC_MASTER",TRUE,"OK",13771,TRUE
"hja2016_059","KC-2","KC-2","planktonic streamwater","planktonic","MATCHED",,"MATCHED_AQUATIC_MASTER",TRUE,"OK",19642,TRUE
"hja2016_062","WS3-3","WS3-3","hyporheic water","hyporheic","MATCHED",,"MATCHED_AQUATIC_MASTER",TRUE,"OK",90648,TRUE
"hja2016_064","WS3-4","WS3-4","planktonic streamwater","planktonic","MATCHED",,"MATCHED_AQUATIC_MASTER",TRUE,"OK",22148,TRUE
"hja2016_099","162","162","planktonic streamwater","planktonic","MATCHED",,"MATCHED_AQUATIC_MASTER",TRUE,"OK",70870,TRUE
"hja2016_100","64","64","planktonic streamwater","planktonic","MATCHED",,"MATCHED_AQUATIC_MASTER",TRUE,"OK",80837,TRUE
"hja2016_101","58","58","planktonic streamwater","planktonic","MATCHED",,"MATCHED_AQUATIC_MASTER",TRUE,"OK",69823,TRUE
"hja2016_102","73","73","hyporheic water","hyporheic","MATCHED",,"MATCHED_AQUATIC_MASTER",TRUE,"OK",44648,TRUE
"hja2016_103","260","260","planktonic streamwater","planktonic","MATCHED",,"MATCHED_AQUATIC_MASTER",TRUE,"OK",69136,TRUE
"hja2016_105","178","178","planktonic streamwater","planktonic","MATCHED",,"MATCHED_AQUATIC_MASTER",TRUE,"OK",69430,TRUE
"hja2016_106","170","170","planktonic streamwater","planktonic","MATCHED",,"MATCHED_AQUATIC_MASTER",TRUE,"OK",579943,TRUE
"hja2016_107","57","57","hyporheic water","hyporheic","MATCHED",,"MATCHED_AQUATIC_MASTER",TRUE,"OK",594437,TRUE
