"source_file","source_sample_type","source_column","analysis_column","predictor_block","units","recommended_transformation","primary_44_site","notes"
"data/hja-env_data_clean.csv","Sediment","sediment_NAG_(DUP)_µmol/(g*hr)","sediment_nag_duplicate_umol_g_hr","sediment_qc","umol/(g*hr)","none",FALSE,""
"data/hja-env_data_clean.csv","Sediment","sediment_LAP_(DUP)_µmol/(g*hr)","sediment_lap_duplicate_umol_g_hr","sediment_qc","umol/(g*hr)","none",FALSE,""
"data/hja-env_data_clean.csv","Sediment","sediment_GLU_(DUP)_µmol/(g*hr)","sediment_glu_duplicate_umol_g_hr","sediment_qc","umol/(g*hr)","none",FALSE,""
"data/hja-env_data_clean.csv","Sediment","sediment_AP_(DUP)_µmol/(g*hr)","sediment_ap_duplicate_umol_g_hr","sediment_qc","umol/(g*hr)","none",FALSE,""
"data/hja-env_data_clean.csv","Sediment","D10_um","sediment_d10_um","sediment_texture","um","log10",FALSE,"Reduced sensitivity subset."
"data/hja-env_data_clean.csv","Sediment","D50_um","sediment_d50_um","sediment_texture","um","log10",FALSE,"Reduced sensitivity subset."
"data/hja-env_data_clean.csv","Sediment","D90_um","sediment_d90_um","sediment_texture","um","log10",FALSE,"Reduced sensitivity subset."
"data/hja-env_data_clean.csv","Sediment","perc_gravel","sediment_gravel_percent","sediment_texture","%","none",FALSE,""
"data/hja-env_data_clean.csv","Sediment","perc_sand","sediment_sand_percent","sediment_texture","%","none",FALSE,""
"data/hja-env_data_clean.csv","Sediment","perc_mud","sediment_mud_percent","sediment_texture","%","none",FALSE,""
