"analysis_column","source_sample_type","source_column","predictor_block","primary_44_site","n_sites","n_observed","n_missing","proportion_missing"
"site_utm_x_m","Stream","Stream_Centerline_UTM_Zone_10N_X_m","landscape",TRUE,44,44,0,0
"site_utm_y_m","Stream","Stream_Centerline_UTM_Zone_10N_Y_m","landscape",TRUE,44,44,0,0
"site_segment_number","Stream","Segment_Number","landscape",TRUE,44,44,0,0
"site_drainage_area_ha","Stream","Drainage_area_ha","landscape",TRUE,44,44,0,0
"site_valley_slope_m_m","Stream","Valley_Slope_m/m","landscape",TRUE,44,44,0,0
"site_stream_slope_m_m","Stream","Stream_Slope_m/m","landscape",TRUE,44,44,0,0
"site_valley_width_m","Stream","Valley_Width_m","landscape",TRUE,44,44,0,0
"site_segment_valley_avg_slope_m_m","Stream","Segment_Valley_Avg_Slope_m/m","landscape",TRUE,44,44,0,0
"site_segment_stream_avg_slope_m_m","Stream","Segment_Stream_Avg_Slope_m/m","landscape",TRUE,44,44,0,0
"site_segment_valley_avg_width_m","Stream","Segment_Valley_Avg_Width_m","landscape",TRUE,44,44,0,0
"site_stream_order","Stream","Stream_Order","landscape",TRUE,44,44,0,0
"site_segment_sinuosity_m_m","Stream","Segment_Sinuosity_m/m","landscape",TRUE,44,44,0,0
"site_distance_to_outlet_m","Stream","Valley_Distance_to_outlet_m","landscape",TRUE,44,44,0,0
"sediment_hydraulic_conductivity_geomean_m_s","Sediment","geometric_Mean_Hydaulic_Conductivity_m/s","hydrology",TRUE,44,41,3,0.0681818181818182
"sediment_piezometer_depth_top_m","Sediment","Piezo_depth_below_streambed_(to_top)_m","hydrology",TRUE,44,42,2,0.0454545454545455
"sediment_piezometer_depth_bottom_m","Sediment","Piezo_depth_below_streambed_(to_bottom)_m","hydrology",TRUE,44,42,2,0.0454545454545455
"site_channel_width_m","Stream","Channel_width","hydrology",TRUE,44,44,0,0
"site_channel_depth_m","Stream","Channel_depth_m","hydrology",TRUE,44,44,0,0
"site_discharge_downstream_m3_s","Stream","Tracer_Downstream_discahrge_m3/s","hydrology",FALSE,44,32,12,0.272727272727273
"site_discharge_upstream_m3_s","Stream","Tracer_Upstream_discharge_m3/s","hydrology",FALSE,44,32,12,0.272727272727273
"site_peak_travel_time_hr","Stream","Peak_travel_time_hr","hydrology",FALSE,44,32,12,0.272727272727273
"site_velocity_m_s","Stream","Velocity_m/s","hydrology",FALSE,44,32,12,0.272727272727273
"surface_water_temperature_c","Stream","Water_Temp_arrival_deg_C","surface_water",TRUE,44,44,0,0
"surface_do_mg_l","Stream","DO_arrival_mg/L","surface_water",TRUE,44,44,0,0
"surface_do_percent_saturation","Stream","DO_arrival_perc_sat","surface_water",TRUE,44,44,0,0
"surface_npoc_mg_l","Stream","NPOC_mg/L","surface_dom",TRUE,44,44,0,0
