"analysis_column","source_sample_type","source_column","predictor_block","n_sites","n_observed","n_missing","proportion_missing"
"surface_absorbance_340_1_m","Stream","Naperian_Absorbance_at_340_nm_1/m","surface_dom",59,59,0,0
"surface_absorbance_380_1_m","Stream","Naperian_Absorbance_at_380_nm_1/m","surface_dom",59,59,0,0
"surface_spectral_slope_ratio_275_295_to_300_350","Stream","Spectral_Slope_Ratio_(Slope_of_Abs275-295/300-350)","surface_dom",59,59,0,0
"surface_integrated_fluorescence_ru","Stream","Integrated_Fluorescence_Raman_units","surface_dom",59,59,0,0
"surface_eem_peak_a_ru","Stream","Intensity_of_EEM_peak_A_(250-450)_Raman_units","surface_dom",59,59,0,0
"surface_eem_peak_c_ru","Stream","Intensity_of_EEM_peak_C_(350-450)_Raman_units","surface_dom",59,59,0,0
"surface_eem_peak_t_ru","Stream","Intensity_of_EEM_peak_T_(275-340)_Raman_units","surface_dom",59,59,0,0
"surface_fluorescence_index","Stream","Fluorescence_Index_(Cory_et_al._2010)","surface_dom",59,59,0,0
"surface_chloride_mg_l","Stream","Chloride_mg/L","surface_ions",59,59,0,0
"surface_sulfate_mg_l","Stream","Sulfate_mg/L","surface_ions",59,59,0,0
"surface_sodium_mg_l","Stream","Sodium_mg/L","surface_ions",59,59,0,0
"surface_potassium_mg_l","Stream","Potassium_mg/L","surface_ions",59,59,0,0
"surface_magnesium_mg_l","Stream","Magnesium_mg/L","surface_ions",59,59,0,0
"surface_calcium_mg_l","Stream","Calcium_mg/L","surface_ions",59,59,0,0
"surface_po4_mg_l","Stream","PO4_mg/L","surface_nutrients",59,58,1,0.0169491525423729
"surface_no2_no3_mg_l_as_no3","Stream","Surface_NO2_NO3_mg/L_as_NO3","surface_nutrients",59,58,1,0.0169491525423729
"surface_nh3_mg_l_as_nh3","Stream","NH3_mg/L_as_NH3","surface_nutrients",59,58,1,0.0169491525423729
"hyporheic_water_temperature_c","Hyporheic","Water_Temp_arrival_deg_C","hyporheic_water",59,55,4,0.0677966101694915
"hyporheic_do_mg_l","Hyporheic","DO_arrival_mg/L","hyporheic_water",59,55,4,0.0677966101694915
"hyporheic_do_percent_saturation","Hyporheic","DO_arrival_perc_sat","hyporheic_water",59,55,4,0.0677966101694915
"hyporheic_npoc_mg_l","Hyporheic","NPOC_mg/L","hyporheic_dom",59,56,3,0.0508474576271186
"hyporheic_suva254","Hyporheic","SUVA254","hyporheic_dom",59,56,3,0.0508474576271186
"hyporheic_spectral_slope_ratio","Hyporheic","Spectral_Slope_Ratio","hyporheic_dom",59,56,3,0.0508474576271186
"hyporheic_tdn_mg_l","Hyporheic","TDN_mg/L","hyporheic_nutrients",59,56,3,0.0508474576271186
"hyporheic_integrated_absorbance_300_400_1_m","Hyporheic","Integrated_Absorbance_300-400_nm_1/m","hyporheic_dom",59,56,3,0.0508474576271186
"hyporheic_absorbance_254_1_m","Hyporheic","Decadic_Absorbance_at_254_nm_1/m","hyporheic_dom",59,56,3,0.0508474576271186
"hyporheic_eem_peak_a_ru","Hyporheic","Intensity_of_EEM_peak_A_(250-450)_Raman_units","hyporheic_dom",59,56,3,0.0508474576271186
"hyporheic_eem_peak_c_ru","Hyporheic","Intensity_of_EEM_peak_C_(350-450)_Raman_units","hyporheic_dom",59,56,3,0.0508474576271186
"hyporheic_eem_peak_t_ru","Hyporheic","Intensity_of_EEM_peak_T_(275-340)_Raman_units","hyporheic_dom",59,56,3,0.0508474576271186
"hyporheic_fluorescence_index","Hyporheic","Fluorescence_Index_(Cory_et_al._2010)","hyporheic_dom",59,56,3,0.0508474576271186
"hyporheic_chloride_mg_l","Hyporheic","Chloride_mg/L","hyporheic_ions",59,54,5,0.0847457627118644
"hyporheic_sulfate_mg_l","Hyporheic","Sulfate_mg/L","hyporheic_ions",59,54,5,0.0847457627118644
"hyporheic_sodium_mg_l","Hyporheic","Sodium_mg/L","hyporheic_ions",59,54,5,0.0847457627118644
"hyporheic_potassium_mg_l","Hyporheic","Potassium_mg/L","hyporheic_ions",59,54,5,0.0847457627118644
"hyporheic_magnesium_mg_l","Hyporheic","Magnesium_mg/L","hyporheic_ions",59,54,5,0.0847457627118644
"hyporheic_calcium_mg_l","Hyporheic","Calcium_mg/L","hyporheic_ions",59,54,5,0.0847457627118644
"hyporheic_po4_mg_l","Hyporheic","PO4_mg/L","hyporheic_nutrients",59,53,6,0.101694915254237
"hyporheic_no2_no3_mg_l_as_no3","Hyporheic","Surface_NO2_NO3_mg/L_as_NO3","hyporheic_nutrients",59,50,9,0.152542372881356
"hyporheic_nh3_mg_l_as_nh3","Hyporheic","NH3_mg/L_as_NH3","hyporheic_nutrients",59,50,9,0.152542372881356
"sediment_organic_content_percent","Sediment","sediment_Organic_Content_%","sediment",59,59,0,0
"sediment_organic_content_duplicate_percent","Sediment","sediment_Organic_Content_%_R2","sediment_qc",59,9,50,0.847457627118644
"sediment_nag_umol_g_hr","Sediment","sediment_NAG_µmol/(g*hr)","sediment_enzyme",59,59,0,0
"sediment_lap_umol_g_hr","Sediment","sediment_LAP_µmol/(g*hr)","sediment_enzyme",59,59,0,0
"sediment_glu_umol_g_hr","Sediment","sediment_GLU_µmol/(g*hr)","sediment_enzyme",59,59,0,0
"sediment_ap_umol_g_hr","Sediment","sediment_AP_µmol/(g*hr)","sediment_enzyme",59,59,0,0
"sediment_nag_duplicate_umol_g_hr","Sediment","sediment_NAG_(DUP)_µmol/(g*hr)","sediment_qc",59,9,50,0.847457627118644
"sediment_lap_duplicate_umol_g_hr","Sediment","sediment_LAP_(DUP)_µmol/(g*hr)","sediment_qc",59,9,50,0.847457627118644
"sediment_glu_duplicate_umol_g_hr","Sediment","sediment_GLU_(DUP)_µmol/(g*hr)","sediment_qc",59,9,50,0.847457627118644
"sediment_ap_duplicate_umol_g_hr","Sediment","sediment_AP_(DUP)_µmol/(g*hr)","sediment_qc",59,9,50,0.847457627118644
"sediment_d10_um","Sediment","D10_um","sediment_texture",59,23,36,0.610169491525424
"sediment_d50_um","Sediment","D50_um","sediment_texture",59,23,36,0.610169491525424
"sediment_d90_um","Sediment","D90_um","sediment_texture",59,23,36,0.610169491525424
"sediment_gravel_percent","Sediment","perc_gravel","sediment_texture",59,23,36,0.610169491525424
"sediment_sand_percent","Sediment","perc_sand","sediment_texture",59,23,36,0.610169491525424
"sediment_mud_percent","Sediment","perc_mud","sediment_texture",59,23,36,0.610169491525424
