"sample_id","sample_year","run_id","plate","lane_sample","site_code_raw","site_code","sample_type_original","sample_type","forward_filename","reverse_filename","forward_path","reverse_path","include","is_control","control_type","metadata_source","metadata_row","mapping_status","normalization_note","biosample_accession","sra_run_accession","forward_file","reverse_file"
"hja2016_032",2016,"HJA2016_Plate2","Plate2","S21","54","54","Hyporheic","hyporheic water","GSF2238-Lennon-Plate2-hja2016_032_S21_L001_R1_001.fastq.gz","GSF2238-Lennon-Plate2-hja2016_032_S21_L001_R2_001.fastq.gz","sequences/GSF2238-Lennon-Plate2-hja2016_032_S21_L001_R1_001.fastq.gz","sequences/GSF2238-Lennon-Plate2-hja2016_032_S21_L001_R2_001.fastq.gz",TRUE,FALSE,,"data/hja-env_data_clean.csv",70,"MATCHED",,,,"/mnt/scratch/wisnoskilab/GitHub/hja-synoptic/sequences/GSF2238-Lennon-Plate2-hja2016_032_S21_L001_R1_001.fastq.gz","/mnt/scratch/wisnoskilab/GitHub/hja-synoptic/sequences/GSF2238-Lennon-Plate2-hja2016_032_S21_L001_R2_001.fastq.gz"
"hja2016_035",2016,"HJA2016_Plate2","Plate2","S22","192","192","Hyporheic","hyporheic water","GSF2238-Lennon-Plate2-hja2016_035_S22_L001_R1_001.fastq.gz","GSF2238-Lennon-Plate2-hja2016_035_S22_L001_R2_001.fastq.gz","sequences/GSF2238-Lennon-Plate2-hja2016_035_S22_L001_R1_001.fastq.gz","sequences/GSF2238-Lennon-Plate2-hja2016_035_S22_L001_R2_001.fastq.gz",TRUE,FALSE,,"data/hja-env_data_clean.csv",102,"MATCHED",,,,"/mnt/scratch/wisnoskilab/GitHub/hja-synoptic/sequences/GSF2238-Lennon-Plate2-hja2016_035_S22_L001_R1_001.fastq.gz","/mnt/scratch/wisnoskilab/GitHub/hja-synoptic/sequences/GSF2238-Lennon-Plate2-hja2016_035_S22_L001_R2_001.fastq.gz"
"hja2016_037",2016,"HJA2016_Plate2","Plate2","S23","43","43","Hyporheic","hyporheic water","GSF2238-Lennon-Plate2-hja2016_037_S23_L001_R1_001.fastq.gz","GSF2238-Lennon-Plate2-hja2016_037_S23_L001_R2_001.fastq.gz","sequences/GSF2238-Lennon-Plate2-hja2016_037_S23_L001_R1_001.fastq.gz","sequences/GSF2238-Lennon-Plate2-hja2016_037_S23_L001_R2_001.fastq.gz",TRUE,FALSE,,"data/hja-env_data_clean.csv",64,"MATCHED",,,,"/mnt/scratch/wisnoskilab/GitHub/hja-synoptic/sequences/GSF2238-Lennon-Plate2-hja2016_037_S23_L001_R1_001.fastq.gz","/mnt/scratch/wisnoskilab/GitHub/hja-synoptic/sequences/GSF2238-Lennon-Plate2-hja2016_037_S23_L001_R2_001.fastq.gz"
"hja2016_040",2016,"HJA2016_Plate2","Plate2","S24","190","190","Hyporheic","hyporheic water","GSF2238-Lennon-Plate2-hja2016_040_S24_L001_R1_001.fastq.gz","GSF2238-Lennon-Plate2-hja2016_040_S24_L001_R2_001.fastq.gz","sequences/GSF2238-Lennon-Plate2-hja2016_040_S24_L001_R1_001.fastq.gz","sequences/GSF2238-Lennon-Plate2-hja2016_040_S24_L001_R2_001.fastq.gz",TRUE,FALSE,,"data/hja-env_data_clean.csv",101,"MATCHED",,,,"/mnt/scratch/wisnoskilab/GitHub/hja-synoptic/sequences/GSF2238-Lennon-Plate2-hja2016_040_S24_L001_R1_001.fastq.gz","/mnt/scratch/wisnoskilab/GitHub/hja-synoptic/sequences/GSF2238-Lennon-Plate2-hja2016_040_S24_L001_R2_001.fastq.gz"
"hja2016_042",2016,"HJA2016_Plate2","Plate2","S25","165","165","Stream","planktonic streamwater","GSF2238-Lennon-Plate2-hja2016_042_S25_L001_R1_001.fastq.gz","GSF2238-Lennon-Plate2-hja2016_042_S25_L001_R2_001.fastq.gz","sequences/GSF2238-Lennon-Plate2-hja2016_042_S25_L001_R1_001.fastq.gz","sequences/GSF2238-Lennon-Plate2-hja2016_042_S25_L001_R2_001.fastq.gz",TRUE,FALSE,,"data/hja-env_data_clean.csv",34,"MATCHED",,,,"/mnt/scratch/wisnoskilab/GitHub/hja-synoptic/sequences/GSF2238-Lennon-Plate2-hja2016_042_S25_L001_R1_001.fastq.gz","/mnt/scratch/wisnoskilab/GitHub/hja-synoptic/sequences/GSF2238-Lennon-Plate2-hja2016_042_S25_L001_R2_001.fastq.gz"
"hja2016_043",2016,"HJA2016_Plate2","Plate2","S26","KC-2","KC-2","Hyporheic","hyporheic water","GSF2238-Lennon-Plate2-hja2016_043_S26_L001_R1_001.fastq.gz","GSF2238-Lennon-Plate2-hja2016_043_S26_L001_R2_001.fastq.gz","sequences/GSF2238-Lennon-Plate2-hja2016_043_S26_L001_R1_001.fastq.gz","sequences/GSF2238-Lennon-Plate2-hja2016_043_S26_L001_R2_001.fastq.gz",TRUE,FALSE,,"data/hja-env_data_clean.csv",110,"MATCHED",,,,"/mnt/scratch/wisnoskilab/GitHub/hja-synoptic/sequences/GSF2238-Lennon-Plate2-hja2016_043_S26_L001_R1_001.fastq.gz","/mnt/scratch/wisnoskilab/GitHub/hja-synoptic/sequences/GSF2238-Lennon-Plate2-hja2016_043_S26_L001_R2_001.fastq.gz"
"hja2016_044",2016,"HJA2016_Plate2","Plate2","S27","156","156","Stream","planktonic streamwater","GSF2238-Lennon-Plate2-hja2016_044_S27_L001_R1_001.fastq.gz","GSF2238-Lennon-Plate2-hja2016_044_S27_L001_R2_001.fastq.gz","sequences/GSF2238-Lennon-Plate2-hja2016_044_S27_L001_R1_001.fastq.gz","sequences/GSF2238-Lennon-Plate2-hja2016_044_S27_L001_R2_001.fastq.gz",TRUE,FALSE,,"data/hja-env_data_clean.csv",28,"MATCHED",,,,"/mnt/scratch/wisnoskilab/GitHub/hja-synoptic/sequences/GSF2238-Lennon-Plate2-hja2016_044_S27_L001_R1_001.fastq.gz","/mnt/scratch/wisnoskilab/GitHub/hja-synoptic/sequences/GSF2238-Lennon-Plate2-hja2016_044_S27_L001_R2_001.fastq.gz"
"hja2016_049",2016,"HJA2016_Plate2","Plate2","S29","67","67","Stream","planktonic streamwater","GSF2238-Lennon-Plate2-hja2016_049_S29_L001_R1_001.fastq.gz","GSF2238-Lennon-Plate2-hja2016_049_S29_L001_R2_001.fastq.gz","sequences/GSF2238-Lennon-Plate2-hja2016_049_S29_L001_R1_001.fastq.gz","sequences/GSF2238-Lennon-Plate2-hja2016_049_S29_L001_R2_001.fastq.gz",TRUE,FALSE,,"data/hja-env_data_clean.csv",17,"MATCHED",,,,"/mnt/scratch/wisnoskilab/GitHub/hja-synoptic/sequences/GSF2238-Lennon-Plate2-hja2016_049_S29_L001_R1_001.fastq.gz","/mnt/scratch/wisnoskilab/GitHub/hja-synoptic/sequences/GSF2238-Lennon-Plate2-hja2016_049_S29_L001_R2_001.fastq.gz"
"hja2016_050",2016,"HJA2016_Plate2","Plate2","S30","165","165","Hyporheic","hyporheic water","GSF2238-Lennon-Plate2-hja2016_050_S30_L001_R1_001.fastq.gz","GSF2238-Lennon-Plate2-hja2016_050_S30_L001_R2_001.fastq.gz","sequences/GSF2238-Lennon-Plate2-hja2016_050_S30_L001_R1_001.fastq.gz","sequences/GSF2238-Lennon-Plate2-hja2016_050_S30_L001_R2_001.fastq.gz",TRUE,FALSE,,"data/hja-env_data_clean.csv",96,"MATCHED",,,,"/mnt/scratch/wisnoskilab/GitHub/hja-synoptic/sequences/GSF2238-Lennon-Plate2-hja2016_050_S30_L001_R1_001.fastq.gz","/mnt/scratch/wisnoskilab/GitHub/hja-synoptic/sequences/GSF2238-Lennon-Plate2-hja2016_050_S30_L001_R2_001.fastq.gz"
"hja2016_052",2016,"HJA2016_Plate2","Plate2","S31","163","163","Hyporheic","hyporheic water","GSF2238-Lennon-Plate2-hja2016_052_S31_L001_R1_001.fastq.gz","GSF2238-Lennon-Plate2-hja2016_052_S31_L001_R2_001.fastq.gz","sequences/GSF2238-Lennon-Plate2-hja2016_052_S31_L001_R1_001.fastq.gz","sequences/GSF2238-Lennon-Plate2-hja2016_052_S31_L001_R2_001.fastq.gz",TRUE,FALSE,,"data/hja-env_data_clean.csv",94,"MATCHED",,,,"/mnt/scratch/wisnoskilab/GitHub/hja-synoptic/sequences/GSF2238-Lennon-Plate2-hja2016_052_S31_L001_R1_001.fastq.gz","/mnt/scratch/wisnoskilab/GitHub/hja-synoptic/sequences/GSF2238-Lennon-Plate2-hja2016_052_S31_L001_R2_001.fastq.gz"
