"site_code","fticr_source_column","sediment_sample_id","planktonic_sample_id","hyporheic_sample_id","stream_master_row","hyporheic_master_row","sediment_master_row","include_sediment_multiblock","site_utm_x_m","site_utm_y_m","site_segment_number","site_drainage_area_ha","site_valley_slope_m_m","site_stream_slope_m_m","site_valley_width_m","site_segment_valley_avg_slope_m_m","site_segment_stream_avg_slope_m_m","site_segment_valley_avg_width_m","site_stream_order","site_segment_sinuosity_m_m","site_distance_to_outlet_m","sediment_hydraulic_conductivity_geomean_m_s","sediment_piezometer_depth_top_m","sediment_piezometer_depth_bottom_m","site_channel_width_m","site_channel_depth_m","site_discharge_downstream_m3_s","site_discharge_upstream_m3_s","site_peak_travel_time_hr","site_velocity_m_s","surface_water_temperature_c","surface_do_mg_l","surface_do_percent_saturation","surface_npoc_mg_l","surface_suva254","surface_spectral_slope_ratio","surface_tdn_mg_l","surface_integrated_absorbance_300_400_1_m","surface_absorbance_254_1_m","surface_absorbance_300_1_m","surface_absorbance_340_1_m","surface_absorbance_380_1_m","surface_spectral_slope_ratio_275_295_to_300_350","surface_integrated_fluorescence_ru","surface_eem_peak_a_ru","surface_eem_peak_c_ru","surface_eem_peak_t_ru","surface_fluorescence_index","surface_chloride_mg_l","surface_sulfate_mg_l","surface_sodium_mg_l","surface_potassium_mg_l","surface_magnesium_mg_l","surface_calcium_mg_l","surface_po4_mg_l","surface_no2_no3_mg_l_as_no3","surface_nh3_mg_l_as_nh3","hyporheic_water_temperature_c","hyporheic_do_mg_l","hyporheic_do_percent_saturation","hyporheic_npoc_mg_l","hyporheic_suva254","hyporheic_spectral_slope_ratio","hyporheic_tdn_mg_l","hyporheic_integrated_absorbance_300_400_1_m","hyporheic_absorbance_254_1_m","hyporheic_eem_peak_a_ru","hyporheic_eem_peak_c_ru","hyporheic_eem_peak_t_ru","hyporheic_fluorescence_index","hyporheic_chloride_mg_l","hyporheic_sulfate_mg_l","hyporheic_sodium_mg_l","hyporheic_potassium_mg_l","hyporheic_magnesium_mg_l","hyporheic_calcium_mg_l","hyporheic_po4_mg_l","hyporheic_no2_no3_mg_l_as_no3","hyporheic_nh3_mg_l_as_nh3","sediment_organic_content_percent","sediment_organic_content_duplicate_percent","sediment_nag_umol_g_hr","sediment_lap_umol_g_hr","sediment_glu_umol_g_hr","sediment_ap_umol_g_hr","sediment_nag_duplicate_umol_g_hr","sediment_lap_duplicate_umol_g_hr","sediment_glu_duplicate_umol_g_hr","sediment_ap_duplicate_umol_g_hr","sediment_d10_um","sediment_d50_um","sediment_d90_um","sediment_gravel_percent","sediment_sand_percent","sediment_mud_percent"
"163",64,"hja2016_147",,"hja2016_052",32,94,156,TRUE,559726.468447026,4896111.82526722,63,6126.6,-0.002832867,-0.002185413,40.34800602,-0.014982946,-0.013118869,66.58608925,5,1.199387475,191.2144031,0.000106,0.56,0.71,9.8,0.253,0.224943842,0.300291075,0.437222224,0.16,19.3,8.95,96.8,2.764,0.869566783,1.505402622,0,123.233861913,2.246336787,0.976952859,1.290058892,0.818492469,1.911693367,811.205463593,0.104959484,0.045217398,0.076007207,1.517870334,1.5,1.36,1.7211,0.5685,0.8295,3.2109,0.05,0.01,0.11,21.4,6.93,78.3,4.085,2.93867261,1.333604381,0.08389,964.744475371,11.995861052,0.164021507,0.057728886,0.226183935,1.598719676,3.94,0.74,6.4734,0.5323,1.1388,4.0833,0.04,0.08,0.24,2.577,,0,0.04476,0.0061,0.00927,,,,,64276.8973,74649.54647,86696.07624,0.99698126,0.00301874,0
"164",65,,"hja2016_010","hja2016_071",33,95,157,FALSE,560307.442789535,4895737.8417834,502,60.8,-0.14974372,-0.136445456,11.08571572,-0.174010351,-0.150576662,14.70228611,3,1.175485846,848.3428208,0.000231,0.66,0.81,1.05,0.133,0.001397607,0.001557944,0.282847223,0.032,15.7,8.93,90.1,2.554,2.553598491,0.838053832,0,444.166678654,6.421387657,3.73365834,4.734197285,2.537430638,0.972231058,2134.946035654,0.303032102,0.141917213,0.09193478,1.449130751,1.29,0.9,3.6343,0.6366,1.1057,5.4065,0.05,0,0.06,,,,2.88,2.43815644,1.251192154,0,455.083496888,6.764884946,0.313409067,0.135781127,0.085087725,1.397068966,1.2,0.78,3.6756,0.6508,1.1292,5.4181,0.05,0.01,0.04,14.476,,0.01401,0.34327,0.03295,0.12629,,,,,,,,,,
"165",66,"hja2016_148","hja2016_042","hja2016_050",34,96,158,TRUE,564789.244860317,4900155.64668049,494,27.9,-0.230323906,-0.2079444,10.01725032,-0.138067136,-0.122846741,8.473930813,2,1.171056099,252.3794033,0.000204,0.51,0.66,0.5334,0.051,0.000742752,0.000463657,0.051666666,0.045,14.3,9.05,88.3,3.189,2.140910374,0.874347277,0.02425,436.147473391,6.636012874,3.657444668,4.663118856,2.490585549,0.987812596,2415.81871863,0.310243697,0.138832084,0.080791077,1.446367212,1.24,1.06,6.2645,1.1459,1.1056,5.3486,0.07,0,0.04,17.1,8.97,93.5,2.977,2.25058784,0.874789029,0.02331,445.974688845,6.814089931,0.316892687,0.140717371,0.103678236,1.458137764,1.18,0.81,5.4658,1.0618,1.0018,5.0436,0.05,0,0.05,3.196,,0.0052,0.03371,0.01426,0.01492,,,,,,,,,,
"169",67,"hja2016_135","hja2016_109",,35,97,159,TRUE,568641.074752475,4902527.5419308,144,53.5,-0.257249054,-0.238004313,13.12186768,-0.143391068,-0.124761623,19.48185823,2,1.161264333,308.4101049,0.000276,0.66,0.81,1.31,0.017,0.00112825,0.001993424,0.085436508,0.032,8,10.23,86.4,1.668,1.225288426,1.380337227,0,103.95962042,1.99050539,0.803878311,1.074914378,0.712198587,2.265879413,643.498129999,0.064998622,0.031456841,0.101926599,1.486458106,1.28,0.94,1.167,0.3921,0.5842,2.4005,0.03,0,0.04,11.6,10.02,92.1,2.859,0.877389896,0.792266822,0,106.145460197,2.06105911,0.077800239,0.030040646,0.07609779,1.375439424,0.92,0.62,1.2679,0.4127,0.6379,2.6288,0.03,0,0.07,14.571,,0.00235,0.14953,0.02886,0.07776,,,,,,,,,,
"170",68,"hja2016_149","hja2016_106",,36,98,160,TRUE,570659.985591589,4896908.79007097,229,49.4,-0.040266428,-0.034795474,8.556207219,-0.075000555,-0.068714332,8.095730452,2,1.103164313,231.8626881,0.000168,0.42,0.57,1.2,0.006,0.000375858,2.20995e-05,1.083333333,0.041,11.6,9.38,85.9,1.839,1.880212856,1.064612366,0,184.341428686,3.165936561,1.606449714,1.972977403,1.02862735,1.144885327,1129.779129898,0.145573143,0.069127071,0.090340048,1.441066494,1.11,0.71,2.6263,1.3074,1.8078,5.8798,0.05,0,0.05,16.6,9.23,94.5,2.815,1.369882382,1.541587374,0.2719,249.998605951,3.582645783,0.164979695,0.072072357,0.10259313,1.441018709,1.12,0.66,2.6063,1.325,1.7587,5.6698,0.04,0,0.09,13.048,,0.01203,0.27082,0.05985,0.07207,,,,,9427.779258,69424.68887,85446.99538,0.981440505,0.018559495,0
"177",69,"hja2016_181",,"hja2016_084",37,99,161,TRUE,565808.199860345,4901620.58198475,452,14.8,-0.118097045,-0.104664078,13.46003211,-0.198687156,-0.173561153,15.26010437,1,1.163096091,436.9310981,8.94e-05,0.66,0.81,0.4,0.025,0.000243136,0.000232012,0.043888888,0.074,13.7,9.14,88.1,1.655,1.110159174,1.604756461,0,72.237130258,1.540810734,0.662024455,0.758452251,0.396056451,1.414458799,682.476757286,0.0742381,0.033736345,0.07114402,1.421972555,1.03,0.83,3.0779,0.8785,1.654,6.5094,0.09,0,0.04,16.4,7.12,72.7,1.876,2.401637866,0.951849717,0,332.358204275,4.377643555,0.097354681,0.033039633,0.088525064,1.522531369,1.22,0.92,3.0456,0.8864,1.6113,6.2792,0.05,0,0.07,7.339,7.271,0.00545,0.24444,0.02273,0.10112,0.00501,0.24207,0.03047,0.1407,,,,,,
"178",70,,"hja2016_105",,38,100,162,FALSE,566185.18321168,4901793.57434491,411,19.9,-0.025224804,-0.021348241,13.50853812,-0.183752411,-0.162549637,16.2771764,2,1.162679515,601.7333146,9.47e-05,0.66,0.81,1,0.051,0.000399597,0.000361746,0.019166669,0.075,13.7,8.97,86.5,2.2,1.84079602,1.005379854,0,206.385937713,3.68856295,1.840696892,2.200556839,1.110314961,1.031568689,1445.318145676,0.18014465,0.083822164,0.076224125,1.471974413,1.14,0.99,5.1659,0.7244,0.891,5.1038,0.05,0,0.04,15.2,8.71,86.7,2.655,1.883239171,1.317381551,0,318.659432762,4.967169784,0.188926726,0.084195197,0.088261693,1.492308314,1.09,1.08,4.7038,0.7203,0.8256,4.7732,0.05,0,0.07,8.163,8.129,0.01162,0.15786,0.0262,0.02909,0.00798,0.13526,0.03009,0.03077,,,,,,
"190",71,"hja2016_136","hja2016_030","hja2016_040",39,101,163,TRUE,564169.272240084,4897881.7471024,546,14.2,-0.042313525,-0.034690915,18.94241829,-0.215774512,-0.188760504,13.71636989,1,1.175407247,805.7817733,0.000416,0.66,0.81,0.6,0.025,0.000225708,0.000380124,0.035833335,0.04,14.2,9.38,91.4,2.157,1.261887134,1.177424461,0,126.032209397,2.606679371,1.132828401,1.345112955,0.680951542,1.260125766,880.234480324,0.1025425,0.049827408,0.07967633,1.455772591,1.05,0.71,2.1208,0.5475,0.8514,2.8447,0.05,0.01,0.05,17.8,9.12,96.1,2.365,1.434055936,0.96418138,0,141.855506642,2.856790326,0.127337889,0.054073043,0.104386636,1.485496702,1.05,0.81,2.4163,0.6093,0.9417,3.2187,0.04,0.01,0.04,7.594,,0.00405,0.08534,0.02131,0.04811,,,,,,,,,,
"192",72,,"hja2016_029","hja2016_035",40,102,164,FALSE,564620.252323511,4897836.74908965,542,28.5,-0.07190886,-0.066713261,10.52922077,-0.138832327,-0.119252493,24.4735968,2,1.209042043,282.0450111,1.5e-05,0.66,0.81,0.86,0.023,0.000281531,0.000214343,0.113888891,0.019,13.9,8.94,86.5,2.222,1.782267779,1.063998942,0.02551,213.258092661,3.928850049,1.724472084,2.242594702,1.283105263,1.336409506,1231.382764683,0.16203138,0.074508952,0.097546346,1.513073636,0.99,0.69,2.395,0.5464,0.7173,2.7008,0.04,0.06,0.06,16.1,8.56,87.2,3.542,1.129445938,1.189599969,0.07626,368.200048837,4.726906566,0.161756756,0.070608516,0.136195313,1.570380459,1.01,0.78,2.4538,0.6019,0.6582,2.513,0.05,0.03,0.08,5.122,,0.0077,0.22767,0.04688,0.02905,,,,,,,,,,
"260",73,"hja2016_164","hja2016_103","hja2016_075",41,103,165,TRUE,566425.172613061,4897456.76587079,23,866.1,-0.037692966,-0.033458234,22.70001767,-0.078060194,-0.067213141,25.96184679,4,1.222409338,191.0497387,0.000162,0.46,0.61,3.1,0.255,0.0430666,0.042175011,0.251944446,0.094,16.4,9.97,96.5,1.318,2.195396311,1.103952028,0.04059,185.036677903,2.681143811,1.486091096,1.94501692,1.125258014,1.209153618,1054.325671225,0.132850474,0.062602224,0.084204512,1.417128309,0.97,0.83,1.9915,0.5904,1.0624,3.3727,0.2,0.08,0.06,16.3,9.85,101.4,2.559,1.424297038,0.814128054,0.09647,246.11832331,3.34274135,0.144041065,0.065926318,0.126702217,1.440953369,1.02,1.08,1.7932,0.5858,0.9357,3.0076,0.04,0.1,0.21,2.855,,0.00632,0.34967,0.07267,0.07026,,,,,,,,,,
"360",74,"hja2016_165",,"hja2016_080",42,104,166,TRUE,566456.171244073,4897485.76459013,85,1702.7,-0.062821627,-0.05606851,72.68420091,-0.047516592,-0.040649012,31.92202379,4,1.196265473,475.3858305,0.000139,0.48,0.64,9.3,0.22,0.272654719,0.206061017,0.274722223,0.17,12.5,10.23,96,1.055,1.731626229,1.179486342,0.02127,85.195124371,1.53600232,0.755600066,0.902565361,0.414813395,0.833848172,590.969202673,0.085751711,0.03788683,0.038016915,1.400380708,0.97,0.83,1.6631,0.7329,1.0441,3.3968,0.06,0.09,0.06,14.9,9.97,99.7,1.606,1.184302646,1.111157192,0.07569,87.659675595,1.80802652,0.105729829,0.043361513,0.108491085,1.438456384,1.08,0.79,2.1479,0.8628,1.3904,4.3311,0.04,0.02,0.06,2.954,,0.00353,0.17373,0.06281,0.03708,,,,,,,,,,
