"sample_id","run_id","input","filtered","denoised_forward","denoised_reverse","merged","nonchim","filter_retention","merge_retention","final_retention","qc_flag"
"hja2016_121","HJA2016_Plate2",619295,577682,565882,565023,530395,520108,0.932805851815371,0.918143546103219,0.839838849013798,"OK"
"hja2016_122","HJA2016_Plate2",98656,92501,90172,90289,82247,81642,0.937611498540383,0.889147144355196,0.827542166720727,"OK"
"hja2016_125","HJA2016_Plate2",92318,86485,83708,83766,74875,74159,0.936816222188522,0.865757067699601,0.803299464893087,"OK"
"hja2016_126","HJA2016_Plate2",5912,4904,4778,4788,4603,4588,0.829499323410014,0.938621533442088,0.776048714479026,"OK"
"hja2016_127","HJA2016_Plate1",92150,82729,81075,80505,70325,70047,0.89776451437873,0.850064668979439,0.760141074335323,"OK"
"hja2016_128","HJA2016_Plate1",1071,816,757,706,625,625,0.761904761904762,0.76593137254902,0.583566760037348,"OK"
"hja2016_129","HJA2016_Plate1",177991,156940,152779,151428,128885,127706,0.881729975111101,0.82123741557283,0.717485715569888,"OK"
"hja2016_131","HJA2016_Plate1",1188399,1058851,1035411,1032585,904633,883738,0.890989474073943,0.854353445385611,0.743637448365406,"OK"
"hja2016_132","HJA2016_Plate1",1301499,1141335,1111467,1105884,955446,919986,0.876938822081308,0.837130202788839,0.706866467050685,"OK"
"hja2016_133","HJA2016_Plate1",106787,94168,89946,89938,73693,72059,0.881830185322183,0.782569450344066,0.674791875415547,"OK"
"hja2016_135","HJA2016_Plate1",169420,148877,145317,143810,124930,123455,0.878745130445048,0.839149096233804,0.728692008027388,"OK"
"hja2016_136","HJA2016_Plate1",180581,159640,157105,156030,140172,138898,0.884035419008644,0.878050613881233,0.769172836566416,"OK"
"hja2016_139","HJA2016_Plate1",206203,181091,173976,173336,142715,140227,0.87821709674447,0.788084443732709,0.680043452326106,"OK"
"hja2016_140","HJA2016_Plate1",271903,235402,233099,229905,207063,205891,0.865757273733648,0.879614446776153,0.757222244697558,"OK"
"hja2016_141","HJA2016_Plate1",209066,183572,181482,176635,157498,156782,0.878057646867496,0.857963088052644,0.749916294375939,"OK"
"hja2016_142","HJA2016_Plate1",844217,734373,731445,725997,685178,676967,0.869886533912489,0.933010881391337,0.801887429416844,"OK"
"hja2016_144","HJA2016_Plate1",612941,535784,533003,527936,486924,480196,0.874120021339737,0.908806533976379,0.783429400219597,"OK"
"hja2016_145","HJA2016_Plate1",174131,155110,149370,149408,126454,124377,0.890766147325864,0.815253690929018,0.71427258787924,"OK"
"hja2016_146","HJA2016_Plate1",177433,152856,151081,147148,133482,132956,0.861485743914604,0.873253257968284,0.749330733290876,"OK"
"hja2016_147","HJA2016_Plate1",176136,153445,146908,145907,119301,116303,0.871173411454785,0.777483788979765,0.660302266430486,"OK"
"hja2016_148","HJA2016_Plate1",156237,140943,135743,135422,111953,110482,0.902110255573264,0.794314013466437,0.707143634350378,"OK"
"hja2016_149","HJA2016_Plate1",818,743,595,527,369,369,0.908312958435208,0.496635262449529,0.451100244498778,"OK"
"hja2016_150","HJA2016_Plate1",185821,164579,160595,159696,138948,137116,0.885685686763068,0.844263241361291,0.737892918453781,"OK"
"hja2016_151","HJA2016_Plate1",1385561,1200156,1167253,1162746,998616,964977,0.866187775204412,0.832071830662014,0.696452195175817,"OK"
"hja2016_152","HJA2016_Plate1",1188276,1057399,1023181,1021952,854443,799955,0.889859763219993,0.8080611008711,0.673206393127523,"OK"
"hja2016_155","HJA2016_Plate1",167712,149922,144365,143937,118488,116837,0.893925300515169,0.790330972105495,0.696652594924633,"OK"
"hja2016_157","HJA2016_Plate1",126267,113320,111005,110361,97206,96913,0.897463311870877,0.85780091775503,0.767524372955721,"OK"
"hja2016_158","HJA2016_Plate1",1941,1636,1509,1424,1081,1077,0.842864502833591,0.660757946210269,0.554868624420402,"OK"
"hja2016_159","HJA2016_Plate1",113953,99028,97255,95913,83815,83304,0.869024948882434,0.846376782324191,0.731038235061824,"OK"
"hja2016_160","HJA2016_Plate1",330438,294592,286084,282312,239684,236788,0.891519740465685,0.813613404301542,0.716588285850901,"OK"
"hja2016_161","HJA2016_Plate2",389,227,216,214,204,204,0.583547557840617,0.898678414096916,0.524421593830334,"OK"
"hja2016_164","HJA2016_Plate2",755914,710349,687241,690948,606700,558490,0.939721978955278,0.854087216283827,0.738827432750286,"OK"
"hja2016_165","HJA2016_Plate2",168,41,39,36,36,36,0.244047619047619,0.878048780487805,0.214285714285714,"OK"
"hja2016_166","HJA2016_Plate2",165055,154324,152058,151722,142850,142090,0.93498530792766,0.925649931313341,0.860864560298082,"OK"
"hja2016_167","HJA2016_Plate2",49253,45661,43773,43824,38261,38097,0.927070432257934,0.837936094259872,0.773496030698638,"OK"
"hja2016_168","HJA2016_Plate2",318,238,222,227,196,196,0.748427672955975,0.823529411764706,0.616352201257862,"OK"
"hja2016_169","HJA2016_Plate2",89378,82912,77738,78274,66772,65373,0.927655575197476,0.805335777692011,0.73142160263152,"OK"
"hja2016_170","HJA2016_Plate2",106363,99291,94790,95246,84149,83233,0.93351071331196,0.847498766252732,0.782537160478738,"OK"
"hja2016_171","HJA2016_Plate2",306,154,131,128,116,116,0.503267973856209,0.753246753246753,0.379084967320261,"OK"
"hja2016_174","HJA2016_Plate2",7924,7320,7099,7078,6601,6532,0.923775870772337,0.901775956284153,0.824331145885916,"OK"
"hja2016_176","HJA2016_Plate2",193,100,78,78,65,64,0.518134715025907,0.65,0.33160621761658,"OK"
"hja2016_177","HJA2016_Plate2",115104,107187,103289,103376,92077,91368,0.931218723936614,0.859031412391428,0.793786488740617,"OK"
"hja2016_179","HJA2016_Plate2",55983,52702,51149,51125,46666,46471,0.94139292285158,0.885469242153998,0.830091277709305,"OK"
"hja2016_180","HJA2016_Plate2",153801,143341,138845,138922,126774,125211,0.931990039076469,0.884422461124172,0.814110441414555,"OK"
"hja2016_181","HJA2016_Plate2",114241,106507,102358,102516,91138,90331,0.932301012771247,0.855699625376736,0.79070561357131,"OK"
"hja2016_183","HJA2016_Plate1",1140428,990477,966341,964012,834793,804564,0.868513400232193,0.842819166926642,0.705493025425542,"OK"
"hja2016_184","HJA2016_Plate1",105090,92184,87367,87055,69977,68951,0.877190979160719,0.759101362492406,0.656113807212865,"OK"
"hja2016_185","HJA2016_Plate1",75813,64569,62240,59911,46710,46147,0.851687705274821,0.723412163731822,0.608695078680437,"OK"
"hja2016_188","HJA2016_Plate1",78454,68816,66450,65916,55293,53759,0.877150941953246,0.803490467333178,0.685229561271573,"OK"
"hja2016_189","HJA2016_Plate1",202234,181913,177435,176654,153848,151838,0.899517390745374,0.845722955478718,0.750803524629884,"OK"
"hja2016_190","HJA2016_Plate1",55661,46603,44692,44174,35249,34900,0.837264871274321,0.756367615818724,0.627009935143098,"OK"
"hja2016_191","HJA2016_Plate1",72822,62292,59362,58574,46107,45834,0.855400840405372,0.740175303409748,0.629397709483398,"OK"
"hja2016_193","HJA2016_Plate2",110905,103023,99116,99575,89982,87552,0.928930165456923,0.873416615707172,0.789432397096614,"OK"
"hja2016_194","HJA2016_Plate2",81619,76148,72255,72644,62036,61413,0.932969039071785,0.814676682250355,0.7524350947696,"OK"
"hja2016_195","HJA2016_Plate2",455563,424325,415951,414458,373785,363982,0.931429901023569,0.880893183291109,0.798971821679987,"OK"
"hja2016_196","HJA2016_Plate2",1383715,1278650,1250091,1250765,1133588,1104671,0.924070346856108,0.886550658898057,0.798337085310198,"OK"
"hja2016_197","HJA2016_Plate2",61470,56602,53553,53566,45765,45147,0.920806897673662,0.808540334263807,0.734455832113226,"OK"
"hja2016_198","HJA2016_Plate2",248484,231839,222239,222949,195527,190457,0.933013795656863,0.843374065623126,0.766475909917741,"OK"
"hja2016_199","HJA2016_Plate2",166448,154737,150075,150210,135718,133349,0.929641689897145,0.877088220658278,0.801145102374315,"OK"
"hja2016_200","HJA2016_Plate2",324806,298553,289172,289301,254900,249607,0.919173291133784,0.853784755135604,0.768480262064124,"OK"
