"sample_id","estimate","standard_error","lower","upper","model","reasonable","warning","site_code","habitat","nonchim"
"hja2016_059",1095.14887977714,82.4892987633017,974.447850390073,1308.38047378611,"Kemp",TRUE,"","KC-2","planktonic",19642
"hja2016_062",1732.45260552284,7.26887767198162,1723.43318155153,1754.11740692095,"Negative Binomial",FALSE,"","WS3-3","hyporheic",90648
"hja2016_064",597.153551786699,13.2436583827011,580.014169396459,635.254463926473,"Kemp",TRUE,"","WS3-4","planktonic",22148
"hja2016_099",5901.56608457652,31.7095108829889,5846.111747022,5971.05519477745,"Negative Binomial",FALSE,"","162","planktonic",70870
"hja2016_100",5469.97546051221,38.7216239875151,5402.24218874821,5554.81191848741,"Negative Binomial",FALSE,"","64","planktonic",80837
"hja2016_101",5771.15080594859,39.9877939598593,5701.33864573702,5858.9247927926,"Negative Binomial",FALSE,"","58","planktonic",69823
"hja2016_102",4388.65224758524,30.2390334397787,4335.70501622048,4454.84153319718,"Negative Binomial",FALSE,"","73","hyporheic",44648
"hja2016_103",4990.44814129877,26.2216499159209,4945.16760229234,5048.61024152232,"Negative Binomial",FALSE,"","260","planktonic",69136
"hja2016_105",5101.00925562435,32.1648891547429,5044.701236657,5171.42753516347,"Negative Binomial",FALSE,"","178","planktonic",69430
"hja2016_106",10025.9735811769,22.4347819814926,9987.28778151566,10075.8040365808,"Negative Binomial",FALSE,"","170","planktonic",579943
"hja2016_107",12165.4923376329,13.2562845611981,12143.1223553621,12195.5465644924,"Negative Binomial",FALSE,"","57","hyporheic",594437
"hja2016_109",3936.82268694722,25.1091291465627,3894.81026114367,3994.20868567287,"Kemp",TRUE,"","169","planktonic",57915
"hja2016_110",4407.18979124033,12.4234802939194,4386.90649792187,4436.24397997989,"Negative Binomial",FALSE,"","76","hyporheic",113718
"hja2016_111",5667.6066765168,37.606804205809,5601.61487319139,5749.75084582481,"Negative Binomial",FALSE,"","160","planktonic",71018
"hja2016_114",6698.30061735465,35.4453703113194,6636.32712883486,6775.99365899008,"Negative Binomial",FALSE,"","WS1-5","planktonic",113466
"hja2016_116",6280.57287763779,23.3406262976679,6240.01018962647,6332.03106656049,"Negative Binomial",FALSE,"","53","planktonic",95287
"hja2016_119",11360.7121756474,16.7922162451866,11332.1255397197,11398.4678528649,"Negative Binomial",FALSE,"","56","planktonic",569978
"hja2016_121",9349.07920602081,15.6759376713985,9322.22216700357,9384.11220091481,"Negative Binomial",FALSE,"","84","hyporheic",520108
"hja2016_122",4703.32207726977,23.8316315432811,4662.35761719003,4756.41515754192,"Negative Binomial",FALSE,"","45","sediment",81642
"hja2016_123",10.75,2.04917737323462,10.0427578291144,23.1554854783457,"Negative Binomial",TRUE,"","54","sediment",276
"hja2016_125",4535.65620921801,23.614560609572,4494.91923022998,4588.08646933773,"Negative Binomial",FALSE,"","56","sediment",74159
"hja2016_126",560.687243130375,318.885628604268,421.694006861639,2351.73353161952,"Kemp",TRUE,"","58","sediment",4588
