date,time,watershed,Site.Code,latitude,longitude,centerline_UTMx,centerline_UTMy,valley5m_UTMx,valley5m_UTMy,drainage_area_m2,drainage_area_ha,temp_SW_degC,DO_SW_mgl,DO_SW_perc,DO_SW_press_mbar,NPOC_SW_mgl,TDN_SW_mgl,temp_HZ_degC,DO_HZ_mgl,DO_HZ_perc,DO_HZ_press_mbar,NPOC_HZ_mgl,TDN_HZ_mgl,hydro_cond_1_mps,hydro_cond_2_mps,hydro_cond_3_mps,sed_percent_organic_content
27-Jul-16,14:15,WS03,WS3_S6,44.216549,-122.239201,560819.4202,4896235.82,560821.2115,4896236.005,784133.7,78.4,18.3,9.04,96,953.1,2.713,0.337,NA,NA,NA,NA,NA,NA,,,,8.21555438
26-Jul-16,14:00,WS01,WS1_S7,44.205525,-122.252887,559691.47,4894971.876,559690.2356,4894972.829,760201.3,76,15,8.88,88.1,956.2,0.9888,0,18.4,8.29,88.6,956,3.48,0.02962,1.23E-04,1.49E-04,1.75E-04,8.316733068
26-Jul-16,16:30,WS01,WS1_S8,44.20546,-122.251939,559768.4666,4894955.876,559767.4666,4894954.394,735135.6,73.5,15,9.01,89.3,954.3,2.376,0.03377,17.2,8.3,86.7,954.3,3.522,0.02277,2.50E-04,2.94E-04,3.31E-04,4.91816496
29-Jul-16,16:00,Tributary of Lookout,Site 043,44.234414,-122.156776,567346.1319,4898257.73,567344.7699,4898253.988,77565.1,7.8,13.8,9.78,94.9,923.8,1.606,0,16.5,7.64,81,923,1.235,0,6.11E-05,7.09E-05,7.09E-05,6.784779545
29-Jul-16,10:00,,45,44.231115,-122.173776,565977.1924,4897892.747,565980.1923,4897893.061,1932316.1,193.2,14.5,9.1,89.2,936.9,2.041,0,15.9,8.78,88.6,936.8,2.653,0,1.17E-04,1.59E-04,1.26E-04,2.555555556
27-Jul-16,9:47,McRae Creek,Site 047,44.233626,-122.20791,563254.3126,4898130.736,563252.8387,4898126.815,15501226,1550.1,14.2,9.72,94.7,953.8,0.8087,0,15,9.72,96.4,953.5,1.651,0,6.34E-04,4.92E-04,6.12E-04,3.826899544
27-Jul-16,12:01,Lookout,Site 049,44.233559,-122.207907,563281.3115,4898046.74,563281.3793,4898045.908,33990880.3,3399.1,13.9,9.89,96,952.4,1.426,0,16,9.83,99,952.2,NA,0,2.50E-04,2.92E-04,2.92E-04,2.520612485
27-Jul-16,14:20,McRae Creek,Site 050,44.233685,-122.210433,563054.3215,4898132.736,563053.3583,4898131.4,49564406.3,4956.4,15.9,9.82,99.3,952.3,1.278,0,21.6/16.4,9.37/9.73,108/102.5,952/9.95?,NA,0,1.69E-03,1.04E-03,1.25E-03,3.230890465
28-Jul-16,11:00,Longer Creek,S_53,44.234105,-122.147425,568092.099,4898223.732,568089.6022,4898222.397,2807375.2,280.7,8.2,10.99,93,925.8,1.459,0.03825,11,10.71,97.1,925.7,1.999,0,1.33E-04,1.45E-04,1.51E-04,7.695158103
29-Jul-16,11:35,,54,44.226831,-122.226345,561802.3768,4897363.77,561805.37,4897360.658,2076619.3,207.7,15,9.32,92.4,948.2,2.084,0,16.5,9.14,93.4,948.1,1.91,0.03066,1.24E-04,1.44E-04,1.87E-04,NA
